,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
157,Portugal,"From an estate in the south of the Alentejo, this is a rich, hot-country wine. It is firm, densely structured and with solid, dark tannins. There is a juicy black fruit background to this dense wine that gives a lift. Still young, this dark and very concentrated wine will be better from 2018.",Grande Reserva Tinto,91,26.0,Alentejano,,,Roger Voss,@vossroger,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória
165,Chile,"Dry, briary aromas of field brush, black olive, herbs, berry fruits and saucy tomato are textbook Maipo. This is fresh, a touch choppy, and not overly heavy. Flavors of cassis, plum and vanilla carry over to the finish, which is fresh and bolstered by fine natural acidity. Drink through 2022.",20 Barrels,91,32.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
181,US,"Crisp, coastal acidity dominates this wine, making it mouth-wateringly tart. May be too much for some folks, but it's quite elegant, with good cherry, black raspberry and cola flavors enriched with a touch of smoky oak.",Mission Ranch,88,36.0,California,Arroyo Seco,Central Coast,,,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards
190,Italy,"Chocolate, espresso, plum and black currant are backed by smoky nuances and natural rubber. This muscular wine offers polished tannins and firm structure to the end. A bit of wine from the 2005 and 2006 vintages is blended in.",Campole,87,26.0,Southern Italy,Campania,,,,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois
212,Spain,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",Fermentado en Barrica,90,40.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera
222,Italy,"Chopped herb, forest floor, leather, espresso and a balsamic note are some of the aromas that waft out of the glass. The powerfully structured palate delivers prune, dried cherry, tobacco, and roasted coffee bean framed in firm fine-grained tannins. Give the tannins a few more years to unwind then drink to capture the fruit richness. Drink 2018–2023.",Trentennale,90,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti
258,South Africa,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.",,89,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
278,US,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",Bishop Creek,89,50.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
282,Italy,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,92,41.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza
284,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215.0,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Viña Cobos
285,Austria,"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Steiner Kögl Erste Lage,92,,Kremstal,,,Roger Voss,@vossroger,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Salomon-Undhof
302,Italy,"This fresh Nebbiolo-based Roero from Cantina dei Nebbiolo offers pretty intensity with aromas of tar, licorice and a touch of sweet cherry liqueur. There isn't much pulp or meat here but the finish is both crisp and tart.",,87,,Piedmont,Roero,,,,Cantina del Nebbiolo 2008  Roero,Nebbiolo,Cantina del Nebbiolo
305,US,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",,87,24.0,California,Mendocino County,,Virginie Boone,@vboone,Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs
320,Italy,Soapy aromas of bee's wax and lavender open the nose of this luminous sparkler and are followed by dried flowers and hay. There are peach-like flavors with aftertastes of green melon and lime. Grapes are grown organically and according to biodynamic principles.,Col di Manza Extra Dry Millesimato,86,22.0,Veneto,Prosecco di Valdobbiadene,,,,Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage
321,Italy,This Brut interpretation of Prosecco (“Brut” means it tastes dry in the mouth) offers tangy fizz and soda-like intensity backed by subdued aromas of white mineral and stone fruit. Pair it with puff pastry appetizers.,Brut,86,16.0,Veneto,Prosecco di Valdobbiadene,,,,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
338,France,The wine is earthy and somewhat rustic. There is fruit but it is spoiled by a spicy pepper edge. Chill this drastically.,,82,11.0,Provence,Coteaux Varois en Provence,,Roger Voss,@vossroger,Mémoires 2015 Rosé (Coteaux Varois en Provence),Rosé,Mémoires
339,Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13.0,Catalonia,Cava,,Michael Schachner,@wineschach,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill
342,Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",,82,11.0,Catalonia,Cava,,Michael Schachner,@wineschach,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco
345,Australia,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,100,350.0,Victoria,Rutherglen,,Joe Czerwinski,@JoeCz,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
354,Germany,"Whiffs of white mushroom, saffron and caramel lend complexity to this concentrated elixir of apricots and orange peels. It's honeyed and sweet but vivaciously balanced, glazing the palate in ethereal textures of gossamer and tulle. The caramel finish lingers endlessly.",Kiedrich Gräfenberg Beerenauslese,96,365.0,Rheingau,,,Anna Lee C. Iijima,,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Riesling,Robert Weil
355,US,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",Sweetwater,96,68.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli
365,Australia,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",St. Andrews Single Vineyard Release,95,60.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,Wakefield
367,Chile,"Aromas of mint, berry syrup and dense, lemony oak lay a good foundation for the heavy black fruit that comes on the palate atop a plush carpet of toasty, fresh-grained wood. The finish is round, tasty and mouthfilling, while overall the wine seems to dance due to popping acidity. This is Carmenère with a vital streak.",Reserva de la Familia,88,10.0,Maipo Valley,,,Michael Schachner,@wineschach,De Martino 1999 Reserva de la Familia Carmenère (Maipo Valley),Carmenère,De Martino
372,Italy,"A fresh, crisp style of Soave, brimming with green plum and light acidity. It has concentration and a light touch in equal measure.",Classico,88,10.0,Veneto,Soave,,Roger Voss,@vossroger,Gini 2002 Classico  (Soave),White Blend,Gini
375,Italy,"A soft, ripe wine that manages to showcase tobacco, earth and black cherry flavors in a relatively lightweight format, finishing long and tart.",Vino in Musica,88,40.0,Tuscany,Toscana,,,,Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Valiano
385,US,"Richly textured, viscous but with good acidty for balance. The wine shows pretty melon, citrus, herb, grass, peach and spice flavors and features a mineral edge that is fresh and clean at the end.",,88,18.0,California,Rutherford,Napa,,,Vinoce 2001 Sauvignon Blanc (Rutherford),Sauvignon Blanc,Vinoce
410,US,"An elegant nose of violet and blackberry gives this Cab Franc a graceful start. On the palate, soft cherry and blackberry flavors are punctuated by spice and pepper. An interesting sip that will pair well with fowl, beef.",,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Miles 2006 Cabernet Franc (Finger Lakes),Cabernet Franc,Miles
429,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",The Estates Clifton Hill Vineyard,89,42.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt
438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,89,15.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Vinos de Arganza 2012 Século Mencía (Bierzo),Mencía,Vinos de Arganza
455,US,"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",Reserve,92,40.0,California,Carneros,Napa-Sonoma,,,Robert Mondavi 2011 Reserve Chardonnay (Carneros),Chardonnay,Robert Mondavi
473,Portugal,"A powerful wine, richly structured and full of ripe fruits. It has a solid feel to it, firmly anchored to its dark tannins as well as lightened by the juicy berry flavors. A blend that includes Cabernet Sauvignon and Syrah, it needs serious aging, so don't drink before 2017.",Gerações Colheita Seleccionada,92,34.0,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2010 Gerações Colheita Seleccionada Red (Alentejano),Portuguese Red,Herdade Grande
495,US,"This El Dorado wine opens with aromas of sweet floral jasmine and is very pretty through and through. Its acidity sings perfectly through the middle of the wine, lifting the flavors of apple and dried apricot as well as the notes of lemon and lime on the finish. This should pair with a range of midweek dinners.",Battonage,87,18.0,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Lava Cap 2010 Battonage Chardonnay (El Dorado),Chardonnay,Lava Cap
527,Germany,"A surprising whiff of black currant on the nose of this elegant white points to Scheurebe—one of Germany's lesser-known grapes. Wittmann's version is particularly poised, offering loads of peach and grapefruit flavors, sharply contrasted by zesty lime and mineral tones. The finish is long and sleek, touched by a hint of bee pollen.",Trocken,91,30.0,Rheinhessen,,,Anna Lee C. Iijima,,Wittmann 2015 Trocken Scheurebe (Rheinhessen),Scheurebe,Wittmann
539,US,"Bright pomegranate and dried strawberry notes start the aromas on this bottling and then descend into more brooding cola, smoked herbs, cinnamon and spicy hibiscus. There is herbal and mineral depth to the palate, with raspberry, cranberry and pencil lead flavors that evolve toward fruit punch, thyme and earth. It's light in body but full of grippy texture.",Twin Creeks Estate,93,42.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Twin Creeks Estate Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill
545,US,"This is a gorgeous wine, blended with 8% Merlot, 1% Petit Verdot and 1% Malbec, and aged entirely in new French oak. Juicy waves of cassis and red currant are accented by dark chocolate, ultimately showcasing a lush, plush yet structured palate. It's decadent now, but should age well through 2022.",Les Sommets,93,85.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Les Belles Collines 2012 Les Sommets Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Les Belles Collines
560,US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",Headpruned Block,93,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Syrah,Limerick Lane
568,US,"This is a lovely wine, classically rendered in cedar, herb and red cherry. The dried herb and forest floor elements persist on the palate, with bursts of acidity giving it life and lingering persistence, the tannins well-integrated.",Reserve,93,70.0,California,Howell Mountain,Napa,Virginie Boone,@vboone,W.H. Smith 2012 Reserve Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,W.H. Smith
574,France,"This bend of 70% Syrah and 30% Grenache is nevertheless very pale in hue. the nose hints at wet stone, thyme and bay leaf, while the medium-bodied palate delivers a harmonious blend of red berries and citrus. Long on the finish, with mouthwatering persistence.",Tradition,89,11.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château de Campuget 2016 Tradition Rosé (Costières de Nîmes),Rosé,Château de Campuget
578,France,"A ripe perfumed wine with fine tannins as well as dense fruit. Blackberry flavors are up there along with the acidity and crisp aftertaste. It's a wine with a good future, ready to drink from 2018.",Château Jean de Bel Air,89,15.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),Bordeaux-style Red Blend,Château Maison Noble Saint Martin
590,US,"Sweet honeysuckle, lime blossoms and honeydew show on the very flowery nose of this bottling from a newer property near the old mining town of Pozo. The sip tightens up smartly with Anjou pear and honeysuckle flavors, but it's the powerful acidity that makes for a compelling palate.",,89,17.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Vintage Cowboy 2016 Chardonnay (Paso Robles),Chardonnay,Vintage Cowboy
639,France,"There are mere hints of beeswax and marzipan on the nose. The palate opens into a structured, bright and well-lit space of pear peel, pear juice and a wonderfully bitter edge. This is off-dry and concentrated, definite but with a light touch. There is an intriguing hint of bitter orange peel that draws you in and pull this onto a higher plane.",Kessler Grand Cru,92,30.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaines Schlumberger
669,US,"All varietal, this wine offers unique aromas of toast, fig, dried herb and exotic spice. The purple fruit flavors are deft in style with a pleasing sense of balance, length and texture.",McClellan Estate Vineyard,90,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills
673,US,"This is a full-bodied and full-flavored wine with rich and deep aromas, ripe fruit flavors and a texture that feels substantial but polished. It starts with black cherry and woodsy aromas, then goes to lively but broad cherry, plum and nutmeg notes. The finish stays flavorful and dry.",Charles Vineyard,90,44.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,The Withers Winery 2013 Charles Vineyard Pinot Noir (Anderson Valley),Pinot Noir,The Withers Winery
675,US,"Smoky cinnamon and nutmeg pierce the entry of this wine, a dense, full-bodied expression of place. Layers of rich cherry and strawberry lie over classic varietal earthiness, finishing medium in length.",,90,28.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Acacia 2013 Pinot Noir (Carneros),Pinot Noir,Acacia
682,Italy,"Made entirely with Pinot Nero, this elegant sparkler offers aromas of rose and red berry. The vibrant, focused palate delivers cherry, strawberry and a hint of cake spices alongside bright acidity and an elegant perlage.",Metodo Classico,90,45.0,Piedmont,Piemonte,,Kerin O’Keefe,@kerinokeefe,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),Pinot Nero,Castello di Neive
693,US,"Although the fine mountain site straddles both Napa and Sonoma, this wine's fruit is all Sonoma, the bulk of it Cabernet Franc, with 17% Cabernet Sauvignon. Dried cranberry shows on the nose and palate, followed by chalky tannins and a refined use of oak, finishing in a bite of currant and cherry. Enjoy through 2017.",,91,65.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Pride Mountain 2012 Cabernet Franc (Sonoma County),Cabernet Franc,Pride Mountain
712,US,"Light in color and weight, this vineyard-designate conveys a wealth of rose petals, earth and bright, crisp red cherry. Compellingly layered and shy, it defines the term ethereal. The finish is medium in length and accented in spicy cardamom.",Keefer Ranch,91,48.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Failla 2013 Keefer Ranch Pinot Noir (Russian River Valley),Pinot Noir,Failla
723,Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias
727,US,"Light strawberry fruit carries an undertone of dried grass. It turns a little sour in the mouth, but it's fine for the price.",,85,13.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Rascal 2014 Pinot Noir (Oregon),Pinot Noir,Rascal
728,Argentina,"Initial aromas of lychee and jasmine are varietally correct but this struggles to stay fresh and instead turns oily on the nose. A mid-level palate holds nectarine, lychee and oily flavors that turn bitter on the finish.",Reserva,85,17.0,Other,Salta,,Michael Schachner,@wineschach,Terrazas de Los Andes 2015 Reserva Torrontés (Salta),Torrontés,Terrazas de Los Andes
736,US,"A rare miss for this winery, this bottling shows cooked red cherries, dust, vanilla and caramel on the somewhat hollow nose. The palate is almost overly rich with caramelized black cherry, fudge and chalky tannins. Patience will likely improve this one.",,85,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Felten Cellars 2013 Tempranillo (Paso Robles),Tempranillo,Felten Cellars
778,US,"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",Winderlea Vineyard,92,105.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Adelsheim
783,US,"This is dry, rich, heady, spicy and utterly delicious. As usual, it contains a splash of Petite Sirah. Already throwing some sediment, it's pretty tannic, with complex flavors of wild blackberry and blueberry, black currant, licorice, cola, bacon and plum sauce, with a hint of exotic pepper and spice. This great Zinfandel is a joy to drink.",Big River Ranch,92,38.0,California,Alexander Valley,Sonoma,,,Bella 2009 Big River Ranch Zinfandel (Alexander Valley),Zinfandel,Bella
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
845,Italy,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio,90,,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,CVA Canicattì 2015 Aquilae Bio Grillo (Terre Siciliane),Grillo,CVA Canicattì
885,US,"So soft, silky and sweet in blackberries, cherries and red currants, it could be a big, ripe Pinot Noir. That's a compliment. Petite Sirah can often be overpowering. This one's delicate, elegant and frankly delicious. Best now and over the next four years.",,90,27.0,California,Dry Creek Valley,Sonoma,,,Kokomo 2008 Petite Sirah (Dry Creek Valley),Petite Sirah,Kokomo
898,Italy,"This vintage of Marsiliana (the top wine from the Maremma property of Prince Corsini) shows rich tones of espresso, chocolate, dark fruit, leather and spice. The wine is soft and well extracted, with a slightly tough, chewy finish.",,90,,Tuscany,Toscana,,,,Marsiliana 2005 Red (Toscana),Red Blend,Marsiliana
918,Italy,"This opens with aromas of toasted oak, roasted coffee bean and a whiff of sawdust. The bracing palate offers dried cherry, espresso and mocha alongside astringent tannins. Give the tannins another year or two to unwind then drink to capture the remaining fruit.",Ginestra,87,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Diego Conterno 2012 Ginestra  (Barolo),Nebbiolo,Diego Conterno
925,US,"An earthy, nutty aroma and flavor come through the intense sweetness and full body of this dessert-style wine. It goes for earthy complexity rather than obvious fruit flavors, and tastes high in sugar and alcohol.",Vin Doux Naturel,87,20.0,California,Shenandoah Valley (CA),Sierra Foothills,Jim Gordon,@gordone_cellars,Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA)),Muscat Blanc à Petits Grains,Terre Rouge
930,Argentina,"Roasted, woodsy, rubbery aromas are gamy and staunch, with berry notes interspersed. Grabby, rubbery tannins make for a rugged palate, while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.",Alberti 154,87,15.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Calle 2014 Alberti 154 Malbec (Mendoza),Malbec,Bodega Calle
937,US,"This is a pleasant white wine, albeit rather generic, as Pinot Blanc is prone to be. Crisp apple flavors and a touch of grapefruit are the focus. Drink chilled and enjoy it while it's still young and fresh.",Stoller Vineyards,87,29.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2015 Stoller Vineyards Pinot Blanc (Dundee Hills),Pinot Blanc,Chehalem
1002,US,"Aromas of cherry, spice and mint lead into tart pie cherry and wild berry fruit, dusted with cocoa and spiced up with 16 months in French oak barrels. Unusual for most high-end Pinots, this is sealed with a screwcap.",First Class,88,60.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Benton-Lane 2006 First Class Pinot Noir (Willamette Valley),Pinot Noir,Benton-Lane
1012,Italy,"This ruby-hued blend of Nerello Mascalese and Nerello Cappuccio conveys aromas of bright berry, intense mint and a whiff of baking spice. The vibrant palate offers sour cherry, mineral and cinnamon flavors alongside fresh acidity.",Pietralava,88,,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Antichi Vinai 1877 2013 Pietralava Red (Etna),Red Blend,Antichi Vinai 1877
